No,Jenis Kelamin,Status Mahasiswa,Status Pernikahan,IPK Semester 1-6,Status Kelulusan
1,Laki-laki,Mahasiswa,Belum,3.17,Tepat
2,Laki-laki,Bekerja,Belum,3.3,Tepat
3,Perempuan,Mahasiswa,Belum,3.01,Tepat
4,Perempuan,Mahasiswa,Menikah,3.25,Tepat
5,Laki-laki,Bekerja,Menikah,3.2,Tepat
6,Laki-laki,Bekerja,Menikah,2.5,Terlambat
7,Perempuan,Bekerja,Menikah,3,Terlambat
8,Perempuan,Bekerja,Belum,2.7,Terlambat
9,Laki-laki,Bekerja,Belum,2.4,Terlambat
10,Perempuan,Mahasiswa,Menikah,2.5,Terlambat
11,Perempuan,Mahasiswa,Belum,2.5,Terlambat
12,Perempuan,Mahasiswa,Belum,3.5,Tepat
13,Laki-laki,Bekerja,Menikah,3.3,Tepat
14,Laki-laki,Mahasiswa,Menikah,3.25,Tepat
15,Laki-laki,Mahasiswa,Belum,2.3,Terlambat
